n,error,cheb_error
10,0.0026634045836693154,0.0003339553659558181
20,1.0459269517149039e-07,3.454665442603755e-09
30,4.396044639420893e-11,1.5987211554602254e-14
40,9.100235477677021e-08,8.881784197001252e-16
50,5.586991034423061e-05,8.881784197001252e-16
60,0.06107991172087461,1.3322676295501878e-15
70,20.781599659149496,1.609823385706477e-15
80,42803.087235049126,1.7763568394002505e-15
90,45611212.08653172,1.7763568394002505e-15
100,29863386978.401756,1.5543122344752192e-15
110,37788953355528.86,1.8318679906315083e-15
120,2.6670436545811156e+16,2.55351295663786e-15
130,3.1928096898435998e+19,2.1649348980190553e-15
140,1.90732432151503e+22,2.3314683517128287e-15
150,2.34498037921348e+25,2.3314683517128287e-15
160,6.941675053007576e+27,2.9976021664879227e-15
170,1.9124994786293546e+31,2.7755575615628914e-15
180,1.8719333164277306e+34,3.164135620181696e-15
190,1.0312746668936085e+37,3.552713678800501e-15
200,2.536334735787957e+40,2.3314683517128287e-15
