,Bisection_solution,B_Number_of_iterations,Newton_solution,N_Number_of_iterations
0.1,8.1640625,8,10.915160372006657,4
0.01,8.1396484375,11,10.914578227911765,5
0.001,8.14300537109375,15,10.914578227911765,5
0.0001,8.143119812011719,18,10.914578068846453,6
1e-05,8.143153190612793,21,10.914578068846453,6
1e-06,8.143155872821808,25,10.914578068846453,6
1e-07,8.143155984580517,28,10.914578068846442,7
1e-08,8.143156007863581,31,10.914578068846442,7
1e-09,8.143156005244236,35,10.914578068846442,7
1e-10,8.143156005280616,38,10.914578068846442,7
1e-11,8.143156005294259,41,10.914578068846442,7
1e-12,8.143156005293406,45,10.914578068846442,7
